Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,country_code,latitude,longitude
Russian Federation,Praskoveya,51,1,1,0,36,0,0,0,51,1,RF,61.524,105.3188
Brazil,Presidente Dutra,41,0,1,0,5,0,1,0,41,0,BR,-14.235004,-51.92528
Italy,Priolo Gargallo,66,1,1,0,39,0,2,0,66,1,IT,41.87194,12.56738
Poland,Przasnysz,34,0,1,0,34,0,0,0,20,0,PL,51.919438,19.145136
France,Punaauia,22,0,0,0,22,0,0,0,6,0,FR,46.227638,2.213749
United States of America,Punta Gorda,54,1,1,0,14,0,11,0,54,1,USA,37.0902,-95.7129
Germany,Puttlingen,62,1,1,0,35,0,3,0,62,1,DE,51.165691,10.451526
Belgium,Puurs,64,1,1,0,29,0,7,0,64,1,BE,50.503887,4.469936
Russian Federation,Pyatigorsk,54,1,1,0,41,0,1,0,54,1,RF,61.524,105.3188
Egypt,Qalyub,142,2,3,0,89,1,9,0,142,2,EG,26.820553,30.802498
China,Qinzhou,68,1,2,0,68,1,1,0,58,1,CN,35.86166,104.195397
Netherlands,Raalte,41,0,1,0,24,0,6,0,41,0,NL,52.132633,5.291266
India,Radaur,158,3,3,0,139,2,1,0,158,3,IN,20.593684,78.96288
Pakistan,Radhan,158,3,1,0,50,0,1,0,158,3,PK,30.375321,69.345116
Republic of North Macedonia,Radovis,83,1,1,0,46,0,0,0,83,1,RNM,41.6086,21.7453
France,Raismes,59,1,1,0,30,0,4,0,59,1,FR,46.227638,2.213749
India,Rajgir,154,3,3,0,100,2,2,0,154,3,IN,20.593684,78.96288
Italy,Ramacca,55,1,1,0,47,0,0,0,55,1,IT,41.87194,12.56738
United States of America,Phoenix,72,1,1,0,4,0,23,0,72,1,USA,37.0902,-95.7129
India,Phulabani,161,3,2,0,71,1,0,0,161,3,IN,20.593684,78.96288
Poland,Piaseczno,28,0,1,0,28,0,2,0,28,0,PL,51.919438,19.145136
India,Pimpri,118,2,2,0,30,0,2,0,118,2,IN,20.593684,78.96288
Brazil,Pindobacu,33,0,0,0,10,0,1,0,33,0,BR,-14.235004,-51.92528
China,Pingyin,150,3,3,0,95,1,6,0,150,3,CN,35.86166,104.195397
Brazil,Pinheiral,154,3,5,0,0,0,13,0,154,3,BR,-14.235004,-51.92528
India,Piravam,81,1,1,0,24,0,1,0,81,1,IN,20.593684,78.96288
Colombia,Plato,67,1,1,0,16,0,2,0,67,1,CO,4.570868,-74.297333
Romania,Poiana Mare,62,1,1,0,37,0,1,0,62,1,RO,45.943161,24.96676
Russian Federation,Polevskoy,31,0,1,0,31,0,0,0,17,0,RF,61.524,105.3188
France,Pontarlier,56,1,1,0,35,0,0,0,56,1,FR,46.227638,2.213749
United States of America,Pontiac,77,1,2,0,22,0,15,0,77,1,USA,37.0902,-95.7129
Indonesia,Pontianak,44,0,1,0,15,0,0,0,44,0,ID,-0.789275,113.921327
Brazil,Porecatu,30,0,1,0,9,0,2,0,30,0,BR,-14.235004,-51.92528
Finland,Pori,30,0,1,0,30,0,1,0,15,0,FI,61.92411,25.748151
South Africa,Port Elizabeth,79,1,3,0,18,0,5,0,79,1,ZA,-30.559482,22.937506
United States of America,Port Neches,34,0,1,0,19,0,7,0,34,0,USA,37.0902,-95.7129
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,1,1,0,20,0,5,0,51,1,UKI,55.3781,-3.436
United States of America,Portales,77,1,1,0,34,0,0,0,77,1,USA,37.0902,-95.7129
United States of America,Post Falls,61,1,1,0,32,0,3,0,61,1,USA,37.0902,-95.7129
Brazil,Pouso Alegre,32,0,1,0,7,0,2,0,32,0,BR,-14.235004,-51.92528
China,Dalinghe,64,1,3,0,64,1,4,0,64,1,CN,35.86166,104.195397
Russian Federation,Dalnegorsk,29,0,0,0,29,0,0,0,25,0,RF,61.524,105.3188
United Republic of Tanzania,Dar Es Salaam,51,1,1,0,23,0,0,0,51,1,URM,-6.369028,34.888822
India,Darbhanga,247,4,3,0,162,3,1,0,247,4,IN,20.593684,78.96288
United States of America,Dayton,45,0,1,0,32,0,7,0,45,0,USA,37.0902,-95.7129
Belgium,Deinze,36,0,1,0,25,0,3,0,36,0,BE,50.503887,4.469936
Egypt,Dekernes,81,1,2,0,81,1,4,0,56,1,EG,26.820553,30.802498
Haiti,Delmas,124,2,2,0,15,0,5,0,124,2,HT,18.971187,-72.285215
United States of America,Deming,72,1,1,0,26,0,2,0,72,1,USA,37.0902,-95.7129
United Kingdom of Great Britain and Northern Ireland,Denton,55,1,0,0,32,0,1,0,55,1,UKI,55.3781,-3.436
United States of America,Destin,31,0,0,0,31,0,0,0,25,0,USA,37.0902,-95.7129
Pakistan,Dhadar,157,3,1,0,89,1,0,0,157,3,PK,30.375321,69.345116
India,Dharmapuri,60,1,1,0,31,0,1,0,60,1,IN,20.593684,78.96288
Pakistan,Digri,153,3,1,0,40,0,0,0,153,3,PK,30.375321,69.345116
Somalia,Dinsor,22,0,0,0,19,0,0,0,22,0,SO,5.152149,46.199616
Philippines,Dipolog,30,0,1,0,17,0,0,0,30,0,PH,12.879721,121.774017
Latvia,Dobele,44,0,1,0,34,0,0,0,44,0,LV,56.879635,24.603189
United States of America,Grandville,47,0,1,0,37,0,4,0,47,0,USA,37.0902,-95.7129
Netherlands,Grave,37,0,0,0,32,0,2,0,37,0,NL,52.132633,5.291266
United States of America,Green Valley,44,0,1,0,14,0,8,0,44,0,USA,37.0902,-95.7129
United States of America,Greendale,58,1,2,0,14,0,24,0,58,1,USA,37.0902,-95.7129
Poland,Grudziadz,37,0,0,0,33,0,0,0,37,0,PL,51.919438,19.145136
Colombia,Guamo,89,1,3,0,3,0,6,0,89,1,CO,4.570868,-74.297333
Italy,Guardiagrele,52,1,2,0,38,0,7,0,52,1,IT,41.87194,12.56738
Chad,Guelengdeng,59,1,2,0,16,0,0,0,59,1,TD,15.454166,18.732207
United Kingdom of Great Britain and Northern Ireland,Guildford,51,1,1,0,25,0,6,0,51,1,UKI,55.3781,-3.436
Philippines,Guiset,66,1,1,0,26,0,1,0,66,1,PH,12.879721,121.774017
Russian Federation,Gukovo,38,0,1,0,38,0,0,0,13,0,RF,61.524,105.3188
United States of America,Havre De Grace,34,0,1,0,30,0,7,0,34,0,USA,37.0902,-95.7129
United States of America,Hazelwood,88,1,2,0,11,0,20,0,88,1,USA,37.0902,-95.7129
Germany,Heddesheim,54,1,1,0,31,0,3,0,54,1,DE,51.165691,10.451526
Germany,Heiligenhaus,44,0,1,0,28,0,3,0,44,0,DE,51.165691,10.451526
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,1,1,0,26,0,6,0,51,1,UKI,55.3781,-3.436
United States of America,Hicksville,67,1,2,0,15,0,23,0,67,1,USA,37.0902,-95.7129
Brazil,Hidrolandia,42,0,1,0,5,0,2,0,42,0,BR,-14.235004,-51.92528
India,Gyanpur,189,3,2,0,99,1,1,0,189,3,IN,20.593684,78.96288
Germany,Haiger,49,0,1,0,25,0,3,0,49,0,DE,51.165691,10.451526
China,Hangzhou,203,4,5,0,203,4,5,0,151,3,CN,35.86166,104.195397
Germany,Harrislee,35,0,0,0,32,0,0,0,35,0,DE,51.165691,10.451526
United States of America,Harrison,90,1,1,0,25,0,2,0,90,1,USA,37.0902,-95.7129
India,Harur,67,1,1,0,26,0,1,0,67,1,IN,20.593684,78.96288
Germany,Hasbergen,36,0,0,0,34,0,1,0,36,0,DE,51.165691,10.451526
France,Haubourdin,48,0,1,0,28,0,4,0,48,0,FR,46.227638,2.213749
United States of America,Taunton,41,0,1,0,28,0,10,0,41,0,USA,37.0902,-95.7129
New Zealand,Tauranga,19,0,0,0,19,0,1,0,17,0,NZ,-40.900557,174.885971
Tunisia,Tawzar,73,1,1,0,43,0,0,0,73,1,TN,33.886917,9.537499
Viet Nam,Tay Ninh,45,0,0,0,18,0,1,0,45,0,VNM,14.0583,108.2772
Iran (Islamic Republic of),Taybad,170,3,1,0,43,0,0,0,170,3,IIM,32.4279,53.688
Italy,Teano,47,0,1,0,47,0,1,0,36,0,IT,41.87194,12.56738
India,Tekkali,155,3,3,0,82,1,1,0,155,3,IN,20.593684,78.96288
Brazil,Teodoro Sampaio,46,0,1,0,9,0,1,0,46,0,BR,-14.235004,-51.92528
Mexico,Tepeaca,172,3,5,0,2,0,11,0,172,3,MX,23.634501,-102.552784
Mexico,Tequila,64,1,1,0,15,0,2,0,64,1,MX,23.634501,-102.552784
Italy,Teramo,44,0,1,0,44,0,1,0,38,0,IT,41.87194,12.56738
Viet Nam,Thai Nguyen,150,3,3,0,150,3,1,0,105,2,VNM,14.0583,108.2772
China,Tianjin,142,2,4,0,113,2,9,0,142,2,CN,35.86166,104.195397
Indonesia,Tidore,21,0,0,0,13,0,0,0,21,0,ID,-0.789275,113.921327
Romania,Timisoara,47,0,1,0,42,0,0,0,47,0,RO,45.943161,24.96676
Tunisia,Tinjah,48,0,1,0,48,0,1,0,29,0,TN,33.886917,9.537499
Philippines,Toboso,54,1,1,0,20,0,0,0,54,1,PH,12.879721,121.774017
Japan,Tokorozawa,60,1,1,0,44,0,3,0,60,1,JP,36.204824,138.252924
Mexico,Toluca,166,3,4,0,8,0,19,0,166,3,MX,23.634501,-102.552784
Brazil,Itapissuma,27,0,0,0,23,0,1,0,27,0,BR,-14.235004,-51.92528
Brazil,Itarantim,23,0,1,0,7,0,1,0,23,0,BR,-14.235004,-51.92528
Brazil,Itumbiara,31,0,1,0,13,0,0,0,31,0,BR,-14.235004,-51.92528
Mexico,Ixtaczoquitlan,88,1,3,0,13,0,9,0,88,1,MX,23.634501,-102.552784
El Salvador,Izalco,90,1,2,0,22,0,9,0,90,1,SV,13.794185,-88.89653
United Republic of Tanzania,Izazi,28,0,1,0,15,0,0,0,28,0,URM,-6.369028,34.888822
Russian Federation,Izberbash,51,1,1,0,38,0,0,0,51,1,RF,61.524,105.3188
India,Jabalpur,170,3,1,0,38,0,0,0,170,3,IN,20.593684,78.96288
Brazil,Jaguaquara,22,0,0,0,9,0,1,0,22,0,BR,-14.235004,-51.92528
India,Jahanabad,168,3,4,0,168,3,1,0,156,3,IN,20.593684,78.96288
Bulgaria,Jambol,40,0,1,0,40,0,0,0,32,0,BG,42.733883,25.48583
Poland,Jarocin,47,0,1,0,27,0,2,0,47,0,PL,51.919438,19.145136
Philippines,Jasaan,59,1,1,0,32,0,0,0,59,1,PH,12.879721,121.774017
Nigeria,Ilobu,133,2,4,0,23,0,3,0,133,2,NG,9.081999,8.675277
Finland,Imatra,29,0,1,0,29,0,1,0,7,0,FI,61.92411,25.748151
Brazil,Indaial,73,1,2,0,2,0,8,0,73,1,BR,-14.235004,-51.92528
Philippines,Indang,50,0,0,0,24,0,0,0,50,0,PH,12.879721,121.774017
Brazil,Itagi,25,0,0,0,9,0,1,0,25,0,BR,-14.235004,-51.92528
Nigeria,Iseyin,90,1,3,0,18,0,2,0,90,1,NG,9.081999,8.675277
Mexico,Isla,81,1,2,0,26,0,3,0,81,1,MX,23.634501,-102.552784
Brazil,Itaitinga,29,0,0,0,20,0,1,0,29,0,BR,-14.235004,-51.92528
Brazil,Itambe,21,0,0,0,8,0,1,0,21,0,BR,-14.235004,-51.92528
Brazil,Itapemirim,44,0,1,0,16,0,1,0,44,0,BR,-14.235004,-51.92528
South Sudan,Torit,65,1,1,0,12,0,0,0,65,1,SSM,6.877,31.307
Guatemala,Totonicapan,66,1,2,0,7,0,6,0,66,1,GT,15.783471,-90.230759
United States of America,Trenton,53,1,1,0,28,0,10,0,53,1,USA,37.0902,-95.7129
United States of America,Trujillo Alto,56,1,0,0,23,0,0,0,56,1,USA,37.0902,-95.7129
Ireland,Tullamore,57,1,1,0,26,0,3,0,57,1,IE,53.41291,-8.24389
Turkey,Tunceli,62,1,0,0,35,0,0,0,62,1,TR,38.963745,35.243322
Viet Nam,Tuyen Quang,167,3,4,0,167,3,1,0,107,2,VNM,14.0583,108.2772
United States of America,Two Rivers,49,0,1,0,27,0,4,0,49,0,USA,37.0902,-95.7129
United States of America,Tysons Corner,55,1,2,0,25,0,11,0,55,1,USA,37.0902,-95.7129
Russian Federation,Tyukalinsk,34,0,1,0,34,0,0,0,32,0,RF,61.524,105.3188
India,Udupi,80,1,1,0,25,0,0,0,80,1,IN,20.593684,78.96288
India,Umaria,163,3,2,0,92,1,0,0,163,3,IN,20.593684,78.96288
United States of America,Willowbrook,126,2,4,0,3,0,36,0,126,2,USA,37.0902,-95.7129
United States of America,Wilmette,63,1,2,0,9,0,22,0,63,1,USA,37.0902,-95.7129
United States of America,Wolf Trap,53,1,2,0,27,0,10,0,53,1,USA,37.0902,-95.7129
United States of America,Woodhaven,86,1,2,0,38,0,10,0,86,1,USA,37.0902,-95.7129
China,Wulanhaote,47,0,2,0,47,0,0,0,25,0,CN,35.86166,104.195397
China,Xiangdong,78,1,2,0,25,0,7,0,78,1,CN,35.86166,104.195397
China,Xiaoweizhai,61,1,2,0,61,1,0,0,54,1,CN,35.86166,104.195397
China,Xushan,112,2,2,0,44,0,4,0,112,2,CN,35.86166,104.195397
Peru,Yanacancha,27,0,0,0,6,0,1,0,27,0,PE,-9.189967,-75.015152
China,Yancheng,155,3,3,0,155,3,2,0,151,3,CN,35.86166,104.195397
Democratic Republic of the Congo,Yangambi,121,2,4,0,24,0,0,0,121,2,DRM,-4.0383,21.7587
China,Yanggu,160,3,3,0,138,2,5,0,160,3,CN,35.86166,104.195397
China,Yangliuqing,144,2,4,0,109,2,9,0,144,2,CN,35.86166,104.195397
China,Yanji,69,1,2,0,48,0,0,0,69,1,CN,35.86166,104.195397
United States of America,Yankton,47,0,1,0,34,0,3,0,47,0,USA,37.0902,-95.7129
Germany,Wenden,69,1,1,0,34,0,4,0,69,1,DE,51.165691,10.451526
United States of America,West Carrollton City,84,1,3,0,9,0,24,0,84,1,USA,37.0902,-95.7129
Belgium,Wetteren,64,1,1,0,32,0,6,0,64,1,BE,50.503887,4.469936
Canada,Whitehorse,20,0,1,0,20,0,1,0,10,0,CA,56.130366,-106.346771
Ireland,Wicklow,38,0,1,0,30,0,3,0,38,0,IE,53.41291,-8.24389
Switzerland,Wil,59,1,1,0,27,0,3,0,59,1,CH,46.818188,8.227512
Germany,Wildeshausen,67,1,1,0,30,0,5,0,67,1,DE,51.165691,10.451526
United States of America,Williamsport,75,1,2,0,13,0,16,0,75,1,USA,37.0902,-95.7129
United States of America,Fox Lake,60,1,2,0,18,0,21,0,60,1,USA,37.0902,-95.7129
Brazil,Foz Do Iguacu,22,0,1,0,13,0,0,0,22,0,BR,-14.235004,-51.92528
Denmark,Frederikssund,36,0,1,0,36,0,0,0,25,0,DK,56.26392,9.501785
United States of America,Friendly,41,0,1,0,30,0,8,0,41,0,USA,37.0902,-95.7129
Germany,Fuldatal,44,0,1,0,28,0,2,0,44,0,DE,51.165691,10.451526
Japan,Furano,29,0,1,0,26,0,1,0,29,0,JP,36.204824,138.252924
China,Fuzhou,168,3,3,0,168,3,5,0,99,1,CN,35.86166,104.195397
United Kingdom of Great Britain and Northern Ireland,Galashiels,25,0,1,0,25,0,3,0,23,0,UKI,55.3781,-3.436
Germany,Gangelt,41,0,1,0,26,0,4,0,41,0,DE,51.165691,10.451526
Germany,Garbsen,36,0,0,0,33,0,1,0,36,0,DE,51.165691,10.451526
Cameroon,Garoua,59,1,2,0,12,0,0,0,59,1,CM,7.369722,12.354722
Somalia,Garowe,98,1,0,0,17,0,0,0,98,1,SO,5.152149,46.199616
Netherlands,Geertruidenberg,35,0,0,0,33,0,2,0,35,0,NL,52.132633,5.291266
Australia,Geraldton,29,0,0,0,29,0,0,0,13,0,AU,-25.274398,133.775136
Germany,Germersheim,51,1,1,0,29,0,3,0,51,1,DE,51.165691,10.451526
Colombia,Girardot,103,2,4,0,9,0,6,0,103,2,CO,4.570868,-74.297333
Russian Federation,Glubokiy,35,0,1,0,35,0,0,0,17,0,RF,61.524,105.3188
United Kingdom of Great Britain and Northern Ireland,Golborne,35,0,1,0,30,0,4,0,35,0,UKI,55.3781,-3.436
Portugal,Gondomar,27,0,0,0,27,0,2,0,21,0,PT,39.399872,-8.224454
Russian Federation,Goryachevodskiy,48,0,1,0,39,0,1,0,48,0,RF,61.524,105.3188
India,Govindgarh,307,5,1,0,45,0,0,0,307,5,IN,20.593684,78.96288
Côte d'Ivoire,Grand Lahou,54,1,1,0,25,0,0,0,54,1,CI,7.539989,-5.54708
United States of America,Hoffman Estates,61,1,2,0,26,0,16,0,61,1,USA,37.0902,-95.7129
Sweden,Hoganas,36,0,1,0,36,0,1,0,30,0,SE,60.128161,18.643501
United States of America,Holly Springs,42,0,1,0,42,0,2,0,37,0,USA,37.0902,-95.7129
Germany,Holzminden,42,0,0,0,32,0,1,0,42,0,DE,51.165691,10.451526
China,Huaicheng,151,3,4,0,45,0,4,0,151,3,CN,35.86166,104.195397
Ethiopia,Huruta,102,2,1,0,23,0,0,0,102,2,ET,9.145,40.489673
Nigeria,Idanre,115,2,3,0,24,0,2,0,115,2,NG,9.081999,8.675277
Italy,Iglesias,64,1,1,0,53,1,1,0,64,1,IT,41.87194,12.56738
Germany,Ihlow,40,0,1,0,30,0,2,0,40,0,DE,51.165691,10.451526
Japan,Iizuka,45,0,1,0,45,0,0,0,38,0,JP,36.204824,138.252924
Thailand,Sungai Kolok,65,1,1,0,34,0,0,0,65,1,TH,15.870032,100.992541
Indonesia,Sungaipenuh,17,0,1,0,13,0,0,0,17,0,ID,-0.789275,113.921327
Russian Federation,Suvorovskaya,52,1,1,0,39,0,1,0,52,1,RF,61.524,105.3188
Japan,Suzu,69,1,1,0,69,1,1,0,60,1,JP,36.204824,138.252924
Poland,Swiecie,44,0,1,0,33,0,1,0,44,0,PL,51.919438,19.145136
Hungary,Szeged,50,0,1,0,41,0,1,0,50,0,HU,47.162494,19.503304
Hungary,Szerencs,72,1,1,0,42,0,1,0,72,1,HU,47.162494,19.503304
Tunisia,Taburbah,49,0,1,0,49,0,1,0,32,0,TN,33.886917,9.537499
India,Tadepallegudem,127,2,2,0,65,1,1,0,127,2,IN,20.593684,78.96288
Iran (Islamic Republic of),Tafresh,125,2,2,0,125,2,1,0,82,1,IIM,32.4279,53.688
Philippines,Tagaytay,41,0,1,0,25,0,1,0,41,0,PH,12.879721,121.774017
Japan,Tajimi,52,1,1,0,34,0,3,0,52,1,JP,36.204824,138.252924
Japan,Takahagi,47,0,1,0,47,0,1,0,44,0,JP,36.204824,138.252924
Japan,Takahashi,36,0,1,0,36,0,3,0,34,0,JP,36.204824,138.252924
India,Tal,155,3,1,0,39,0,0,0,155,3,IN,20.593684,78.96288
Philippines,Talacogon,37,0,1,0,19,0,0,0,37,0,PH,12.879721,121.774017
Russian Federation,Taldom,46,0,1,0,27,0,1,0,46,0,RF,61.524,105.3188
Kazakhstan,Talgar,69,1,1,0,42,0,0,0,69,1,KZ,48.019573,66.923684
United States of America,Tamiami,64,1,1,0,18,0,12,0,64,1,USA,37.0902,-95.7129
Israel,Tamra,92,1,2,0,52,1,8,0,92,1,IL,31.046051,34.851612
Japan,Tanashi,58,1,1,0,43,0,3,0,58,1,JP,36.204824,138.252924
Romania,Tandarei,41,0,1,0,41,0,0,0,38,0,RO,45.943161,24.96676
Philippines,Tantangan,35,0,1,0,20,0,0,0,35,0,PH,12.879721,121.774017
Indonesia,Tarogong,88,1,2,0,53,1,1,0,88,1,ID,-0.789275,113.921327
Turkey,Tatvan,45,0,0,0,45,0,0,0,43,0,TR,38.963745,35.243322
India,Yaval,102,2,1,0,38,0,0,0,102,2,IN,20.593684,78.96288
United Kingdom of Great Britain and Northern Ireland,Yeovil,58,1,1,0,24,0,7,0,58,1,UKI,55.3781,-3.436
China,Yuanping,143,2,2,0,35,0,5,0,143,2,CN,35.86166,104.195397
China,Yuncheng,187,3,2,0,36,0,8,0,187,3,CN,35.86166,104.195397
Poland,Zambrow,35,0,1,0,35,0,0,0,17,0,PL,51.919438,19.145136
Poland,Zamosc,48,0,1,0,35,0,1,0,48,0,PL,51.919438,19.145136
Belgium,Zaventem,58,1,1,0,29,0,6,0,58,1,BE,50.503887,4.469936
Belgium,Zemst,65,1,1,0,27,0,8,0,65,1,BE,50.503887,4.469936
China,Zhaozhou,73,1,2,0,66,1,0,0,73,1,CN,35.86166,104.195397
China,Zhicheng,160,3,4,0,36,0,13,0,160,3,CN,35.86166,104.195397
China,Zhongshan,98,1,3,0,33,0,9,0,98,1,CN,35.86166,104.195397
China,Zhuji,156,3,4,0,45,0,10,0,156,3,CN,35.86166,104.195397
Mexico,Zimatlan,75,1,2,0,9,0,6,0,75,1,MX,23.634501,-102.552784
Mexico,Zinacantepec,163,3,4,0,8,0,18,0,163,3,MX,23.634501,-102.552784
Russian Federation,Zmeinogorsk,35,0,1,0,35,0,0,0,21,0,RF,61.524,105.3188
Netherlands,Aalburg,30,0,0,0,30,0,2,0,29,0,NL,52.132633,5.291266
Spain,Abaran,47,0,1,0,21,0,2,0,47,0,ES,40.463667,-3.74922
Italy,Abbiategrasso,69,1,1,0,37,0,4,0,69,1,IT,41.87194,12.56738
Côte d'Ivoire,Abidjan,105,2,4,0,15,0,4,0,105,2,CI,7.539989,-5.54708
Mexico,Acuautla,189,3,2,0,9,0,15,0,189,3,MX,23.634501,-102.552784
United States of America,Acworth,64,1,2,0,37,0,8,0,64,1,USA,37.0902,-95.7129
United States of America,Adelphi,54,1,1,0,32,0,5,0,54,1,USA,37.0902,-95.7129
India,Afzalgarh,198,3,4,0,198,3,3,0,188,3,IN,20.593684,78.96288
Nigeria,Agbor,139,2,7,0,13,0,5,0,139,2,NG,9.081999,8.675277
France,Aix En Provence,55,1,1,0,26,0,3,0,55,1,FR,46.227638,2.213749
Myanmar,Akyab,145,2,1,0,46,0,0,0,145,2,MYN,21.9162,95.956
United States of America,Alabaster,80,1,1,0,18,0,10,0,80,1,USA,37.0902,-95.7129
Russian Federation,Alagir,50,0,1,0,36,0,1,0,50,0,RF,61.524,105.3188
Belgium,Alken,35,0,1,0,25,0,3,0,35,0,BE,50.503887,4.469936
Canada,Alma,55,1,1,0,27,0,0,0,55,1,CA,56.130366,-106.346771
Brazil,Almirante Tamandare,13,0,1,0,12,0,1,0,13,0,BR,-14.235004,-51.92528
Spain,Almoradi,48,0,1,0,23,0,3,0,48,0,ES,40.463667,-3.74922
Papua New Guinea,Alotau,28,0,0,0,28,0,0,0,13,0,PG,-6.314993,143.95555
Germany,Altotting,50,0,1,0,29,0,3,0,50,0,DE,51.165691,10.451526
Madagascar,Ambovombe,26,0,0,0,26,0,0,0,20,0,MG,-18.766947,46.869107
China,Anqiu,107,2,2,0,107,2,5,0,86,1,CN,35.86166,104.195397
Madagascar,Antalaha,22,0,0,0,22,0,0,0,20,0,MG,-18.766947,46.869107
United States of America,Antioch,76,1,3,0,7,0,25,0,76,1,USA,37.0902,-95.7129
Lithuania,Anyksciai,47,0,1,0,32,0,0,0,47,0,LT,55.169438,23.881275
Ghana,Apam,104,2,2,0,14,0,1,0,104,2,GH,7.946527,-1.023194
Mexico,Apaseo El Grande,60,1,1,0,16,0,5,0,60,1,MX,23.634501,-102.552784
Brazil,Aragarcas,32,0,1,0,3,0,2,0,32,0,BR,-14.235004,-51.92528
Russian Federation,Arkadak,28,0,1,0,28,0,1,0,15,0,RF,61.524,105.3188
France,Armentieres,34,0,0,0,28,0,2,0,34,0,FR,46.227638,2.213749
Russian Federation,Arsk,28,0,1,0,28,0,1,0,19,0,RF,61.524,105.3188
Azerbaijan,Artyom,48,0,1,0,35,0,0,0,48,0,AZ,40.143105,47.576927
Armenia,Ashtarak,39,0,1,0,29,0,1,0,39,0,AM,40.069099,45.038189
Ethiopia,Asosa,97,1,1,0,14,0,0,0,97,1,ET,9.145,40.489673
Iran (Islamic Republic of),Astaneh Ye Ashrafiyeh,75,1,1,0,37,0,0,0,75,1,IIM,32.4279,53.688
India,Atarra,194,3,1,0,44,0,0,0,194,3,IN,20.593684,78.96288
Guatemala,Atescatempa,104,2,3,0,5,0,10,0,104,2,GT,15.783471,-90.230759
Italy,Atri,57,1,1,0,40,0,3,0,57,1,IT,41.87194,12.56738
Ukraine,Avdiyivka,41,0,1,0,41,0,3,0,27,0,UA,48.379433,31.16558
Portugal,Avintes,37,0,1,0,16,0,7,0,37,0,PT,39.399872,-8.224454
Malaysia,Ayer Keroh,59,1,1,0,34,0,0,0,59,1,MY,4.210484,101.975766
United Kingdom of Great Britain and Northern Ireland,Ayr,29,0,1,0,29,0,2,0,20,0,UKI,55.3781,-3.436
Netherlands,Baarn,34,0,0,0,34,0,1,0,26,0,NL,52.132633,5.291266
Serbia,Backa Palanka,70,1,1,0,41,0,0,0,70,1,RS,44.016521,21.005859
Germany,Bad Langensalza,32,0,0,0,30,0,1,0,32,0,DE,51.165691,10.451526
Pakistan,Bahawalnagar,500,5,1,0,38,0,1,0,466,5,PK,30.375321,69.345116
South Africa,Balfour,380,5,31,0,1,0,26,0,380,5,ZA,-30.559482,22.937506
South Africa,Ballitoville,222,4,12,0,5,0,14,0,222,4,ZA,-30.559482,22.937506
Thailand,Ban Phai,52,1,0,0,28,0,0,0,52,1,TH,15.870032,100.992541
Malaysia,Bandar Penggaram,76,1,1,0,39,0,0,0,76,1,MY,4.210484,101.975766
Philippines,Bangued,27,0,0,0,23,0,0,0,27,0,PH,12.879721,121.774017
Slovakia,Banovce,59,1,1,0,26,0,2,0,59,1,SK,48.669026,19.699024
Germany,Bargteheide,38,0,0,0,28,0,2,0,38,0,DE,51.165691,10.451526
United States of America,Bartlesville,56,1,1,0,23,0,6,0,56,1,USA,37.0902,-95.7129
Gambia,Basse,127,2,1,0,18,0,0,0,127,2,GM,13.443182,-15.310139
Pakistan,Bat Khela,117,2,1,0,117,2,1,0,78,1,PK,30.375321,69.345116
Malaysia,Batu Gajah,92,1,2,0,57,1,1,0,92,1,MY,4.210484,101.975766
India,Bazpur,182,3,5,0,170,3,5,0,182,3,IN,20.593684,78.96288
Italy,Castel Goffredo,124,2,2,0,32,0,7,0,124,2,IT,41.87194,12.56738
Italy,Catanzaro,68,1,2,0,68,1,6,0,57,1,IT,41.87194,12.56738
Philippines,Catbalogan,68,1,1,0,26,0,0,0,68,1,PH,12.879721,121.774017
Ecuador,Cayambe,39,0,1,0,4,0,2,0,39,0,EC,-1.831239,-78.183406
Bosnia and Herzegovina,Cazin,50,0,1,0,33,0,0,0,50,0,BA,43.915886,17.679076
Italy,Cernusco Sul Naviglio,103,2,1,0,33,0,6,0,103,2,IT,41.87194,12.56738
Italy,Cesenatico,38,0,1,0,36,0,5,0,38,0,IT,41.87194,12.56738
Czechia,Ceske Budejovice,61,1,1,0,38,0,1,0,61,1,CZH,49.8175,15.4724
Argentina,Chacabuco,17,0,0,0,17,0,1,0,17,0,AR,-38.416097,-63.616672
Peru,Chachapoyas,21,0,0,0,4,0,0,0,21,0,PE,-9.189967,-75.015152
France,Chalon Sur Saone,32,0,1,0,32,0,1,0,20,0,FR,46.227638,2.213749
China,Chaoyang,151,3,3,0,119,2,1,0,151,3,CN,35.86166,104.195397
Viet Nam,Chau Doc,57,1,1,0,32,0,0,0,57,1,VNM,14.0583,108.2772
Russian Federation,Cherepanovo,38,0,1,0,38,0,0,0,35,0,RF,61.524,105.3188
Russian Federation,Cherkessk,49,0,1,0,40,0,0,0,49,0,RF,61.524,105.3188
India,Chhabra,171,3,1,0,42,0,0,0,171,3,IN,20.593684,78.96288
India,Chilakalurupet,91,1,1,0,28,0,1,0,91,1,IN,20.593684,78.96288
Mexico,Chilpancingo,72,1,2,0,4,0,5,0,72,1,MX,23.634501,-102.552784
