Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,country_code,latitude,longitude
Brazil,Conselheiro Lafaiete,70,1,2,0,0,0,8,0,70,1,BR,-14.235004,-51.92528
Côte d'Ivoire,Duekoue,55,1,2,0,5,0,0,0,55,1,CI,7.539989,-5.54708
Belgium,Eghezee,40,0,1,0,21,0,6,0,40,0,BE,50.503887,4.469936
United States of America,El Paso,100,2,2,0,19,0,10,0,100,2,USA,37.0902,-95.7129
Brazil,Espumoso,22,0,0,0,22,0,0,0,11,0,BR,-14.235004,-51.92528
United States of America,Eufaula,81,1,2,0,11,0,7,0,81,1,USA,37.0902,-95.7129
Portugal,Fanzeres,31,0,1,0,21,0,5,0,31,0,PT,39.399872,-8.224454
Russian Federation,Berezniki,28,0,1,0,28,0,1,0,28,0,RF,61.524,105.3188
Cameroon,Betare Oya,58,1,3,0,5,0,0,0,58,1,CM,7.369722,12.354722
United States of America,Bettendorf,57,1,1,0,28,0,6,0,57,1,USA,37.0902,-95.7129
Kazakhstan,Beyneu,57,1,1,0,40,0,0,0,57,1,KZ,48.019573,66.923684
India,Bhusawal,143,2,0,0,34,0,0,0,143,2,IN,20.593684,78.96288
Germany,Schermbeck,32,0,1,0,32,0,2,0,32,0,DE,51.165691,10.451526
Germany,Schweinfurt,64,1,1,0,35,0,3,0,64,1,DE,51.165691,10.451526
Romania,Scornicesti,39,0,1,0,39,0,0,0,22,0,RO,45.943161,24.96676
France,Seclin,48,0,1,0,25,0,5,0,48,0,FR,46.227638,2.213749
China,Shaping,207,4,5,0,207,4,4,0,154,3,CN,35.86166,104.195397
Russian Federation,Shushary,39,0,1,0,38,0,4,0,39,0,RF,61.524,105.3188
India,Singur,169,3,5,0,115,2,5,0,169,3,IN,20.593684,78.96288
Philippines,Sitangkai,36,0,1,0,14,0,0,0,36,0,PH,12.879721,121.774017
South Africa,Siyabuswa,166,3,10,0,13,0,11,0,166,3,ZA,-30.559482,22.937506
Colombia,Soledad,110,2,1,0,17,0,3,0,110,2,CO,4.570868,-74.297333
Costa Rica,San Isidro,52,1,2,0,3,0,12,0,52,1,CR,9.748917,-83.753428
Colombia,San Juan Nepomuceno,65,1,2,0,11,0,6,0,65,1,CO,4.570868,-74.297333
Mexico,San Miguel El Alto,50,0,1,0,26,0,1,0,50,0,MX,23.634501,-102.552784
Mexico,Santa Rosalia,86,1,1,0,24,0,0,0,86,1,MX,23.634501,-102.552784
Russian Federation,Solikamsk,32,0,1,0,32,0,0,0,16,0,RF,61.524,105.3188
Indonesia,Sooko,140,2,2,0,71,1,1,0,140,2,ID,-0.789275,113.921327
Greece,Sparti,57,1,1,0,46,0,0,0,57,1,GR,39.074208,21.824312
South Africa,Standerton,84,1,1,0,13,0,13,0,84,1,ZA,-30.559482,22.937506
Poland,Starachowice,82,1,1,0,35,0,1,0,82,1,PL,51.919438,19.145136
Poland,Strzegom,82,1,1,0,38,0,1,0,82,1,PL,51.919438,19.145136
Japan,Sueyoshi,39,0,1,0,39,0,1,0,31,0,JP,36.204824,138.252924
Indonesia,Jatiwangi,63,1,1,0,37,0,1,0,63,1,ID,-0.789275,113.921327
Ukraine,Kaharlyk,53,1,1,0,43,0,0,0,53,1,UA,48.379433,31.16558
United Republic of Tanzania,Kaliua,32,0,0,0,14,0,0,0,32,0,URM,-6.369028,34.888822
Germany,Kalkar,33,0,1,0,33,0,2,0,33,0,DE,51.165691,10.451526
India,Kamalganj,360,5,1,0,49,0,1,0,301,5,IN,20.593684,78.96288
China,Dalianwan,105,2,3,0,105,2,3,0,74,1,CN,35.86166,104.195397
Netherlands,Deurne,41,0,1,0,28,0,4,0,41,0,NL,52.132633,5.291266
India,Dig,231,4,1,0,43,0,0,0,231,4,IN,20.593684,78.96288
Cameroon,Djang,76,1,3,0,14,0,1,0,76,1,CM,7.369722,12.354722
Brazil,Coaraci,36,0,1,0,7,0,2,0,36,0,BR,-14.235004,-51.92528
Brazil,Conceicao Do Mato Dentro,42,0,1,0,2,0,3,0,42,0,BR,-14.235004,-51.92528
Nicaragua,Condega,20,0,1,0,11,0,1,0,20,0,NI,12.865416,-85.207229
United States of America,Cudahy,141,2,4,0,3,0,37,0,141,2,USA,37.0902,-95.7129
Republic of Moldova,Glodeni,67,1,1,0,45,0,0,0,67,1,RMM,47.4116,28.3699
Poland,Glogow,38,0,1,0,27,0,1,0,38,0,PL,51.919438,19.145136
Azerbaijan,Goycay,53,1,1,0,37,0,0,0,53,1,AZ,40.143105,47.576927
Colombia,Envigado,117,2,4,0,1,0,8,0,117,2,CO,4.570868,-74.297333
India,Falakata,139,2,2,0,66,1,1,0,139,2,IN,20.593684,78.96288
India,Farakka,198,3,2,0,128,2,1,0,198,3,IN,20.593684,78.96288
Germany,Felsberg,33,0,1,0,33,0,3,0,33,0,DE,51.165691,10.451526
Paraguay,Fernando De La Mora,59,1,1,0,12,0,2,0,59,1,PY,-23.442503,-58.443832
Estonia,Haapsalu,36,0,1,0,36,0,0,0,33,0,EE,58.595272,25.013607
China,Hecun,166,3,4,0,166,3,4,0,140,2,CN,35.86166,104.195397
Russian Federation,Uryupinsk,51,1,1,0,39,0,0,0,51,1,RF,61.524,105.3188
Spain,Valdemoro,31,0,1,0,27,0,3,0,31,0,ES,40.463667,-3.74922
Lithuania,Varena,51,1,1,0,34,0,0,0,51,1,LT,55.169438,23.881275
Brazil,Vassouras,152,3,5,0,12,0,15,0,152,3,BR,-14.235004,-51.92528
United States of America,Verona,66,1,3,0,4,0,11,0,66,1,USA,37.0902,-95.7129
Brazil,Viamao,49,0,1,0,17,0,3,0,49,0,BR,-14.235004,-51.92528
Italy,Vibo Valentia,46,0,1,0,46,0,0,0,39,0,IT,41.87194,12.56738
Germany,Tornesch,32,0,1,0,32,0,2,0,26,0,DE,51.165691,10.451526
Uganda,Tororo,80,1,5,0,35,0,2,0,80,1,UG,1.373333,32.290275
China,Toucheng,62,1,1,0,46,0,2,0,62,1,CN,35.86166,104.195397
France,Trappes,46,0,1,0,19,0,4,0,46,0,FR,46.227638,2.213749
